MrrChangeFe,Mrr Change
DailyRows10dFe,Daily Rows (10d)
DaysSinceLastUsageFe,Days Since Last Usage
DailyGBIndexedFe,Daily GB Indexed
DailyGBIndexed30dFe,Daily GB Indexed (30d)
TotalNumOfAlertDefinitionsFe,Total Number Of Alert Definitions
TotalNumOfAlertDefinitions30dFe,Total Number Of Alert Definitions (30d)
TotalNumOfDashboardsFe,Total Number Of Dashboards
TotalNumOfDashboards30dFe,Total Number Of Dashboards (30d)
AvgLoadTimeFe,Avg Load Time
AvgLoadTime30dFe,Avg Load Time (30d)
EngAggregationalertsFe,Aggregation Alerts
EngAggregationalerts30dFe,Aggregation Alerts (30d)
EngAlertsFe,Alerts
EngAlerts30dFe,Alerts (30d)
EngAnyActivityFe,Any Activity 
EngAnyActivity30dFe,Any Activity (30d)
EngInsightsGeneralFe,Insights General
EngInsightsGeneral30dFe,Insights General (30d)
EngLivetailFe,Livetail
EngLivetail30dFe,Livetail (30d)
EngTimelionFe,Timelion
EngTimelion30dFe,Timelion (30d)
MaxLoadTimeFe,Max Load Time
MaxLoadTime30dFe,Max Load Time (30d)
NumOfExceptionsFe,Num Of Exceptions
NumOfExceptions30dFe,Num Of Exceptions (30d)
Percentile10Fe,Percentile 10 
Percentile1030dFe,(30d)
Percentile50Fe,Percentile 50 
Percentile5030dFe,Percentile 50 (30d)
Percentile80Fe,Percentile 80 
Percentile8030dFe,Percentile 80 (30d)
Percentile90Fe,Percentile 90 
Percentile9030dFe,Percentile 90 (30d)
TotalNumOfEntriesPerDayFe,Total Num Of Entries Per Day
TotalNumOfEntriesPerDay30dFe,Total Num Of Entries Per Day (30d)
MaxQueryTimeFe,Max Query Time
MaxQueryTime30dFe,Max Query Time (30d)
NumOfQueriesFe,Num Of Queries
NumOfQueries30dFe,Num Of Queries (30d)
AvgQueryTimeFe,Avg Query Time
AvgQueryTime30dFe,Avg Query Time (30d)
DailyGbArchivedFe,Daily Gb Archived
DailyGbArchived30dFe,Daily Gb Archived (30d)
DailyGbByPlanFe,Daily GbBy Plan
DailyGbByPlan30dFe,Daily GbBy Plan (30d)
DailyGbIndexedAllClustersFe,Daily Gb Indexed All Clusters
DailyGbIndexedAllClusters30dFe,Daily Gb Indexed All Clusters (30d)
DailyGbIndexedWithSubAccountsFe,Daily Gb Indexed With Sub Accounts
DailyGbIndexedWithSubAccounts30dFe,Daily Gb Indexed With Sub Accounts (30d)
DailyGbReceivedFe,Daily Gb Received 
DailyGbReceived30dFe,Daily Gb Received  (30d)
DailyGbRecivedWithSubAccountsFe,Daily Gb Recived With Sub Accounts
DailyGbRecivedWithSubAccounts30dFe,Daily Gb Recived With Sub Accounts (30d)
DailyNumOfActiveUsersFe,Daily Num Of Active Users
DailyNumOfActiveUsers30dFe,Daily Num Of Active Users (30d)
DailyNumOfDocDroppedFe,Daily Num Of Doc Dropped
DailyNumOfDocDropped30dFe,Daily Num Of Doc Dropped (30d)
DailyNumOfFailedQueriesFe,Daily Num Of Failed Queries
DailyNumOfFailedQueries30dFe,DailyNumOfFailedQueriesFe (30d)
DailyNumOfIncomingLogsFe,Daily Num Of Incoming Logs
DailyNumOfIncomingLogs30dFe,DailyNumOfIncomingLogsFe (30d)
