Date,WCS- Sales_Accessories,Ordered Units_Accessories,Ship Charge_Accessories,Ship Tax Amount_Accessories,Tax Amount_Accessories,Total Shipping Cost_Accessories,Discount_Accessories,WCS- Sales_Footwear,Ordered Units_Footwear,Ship Charge_Footwear,Ship Tax Amount_Footwear,Tax Amount_Footwear,Total Shipping Cost_Footwear,Discount_Footwear,WCS- Sales_Apparel,Ordered Units_Apparel,Ship Charge_Apparel,Ship Tax Amount_Apparel,Tax Amount_Apparel,Total Shipping Cost_Apparel,Discount_Apparel,WCS- Sales_Custom,Ordered Units_Custom,Ship Charge_Custom,Ship Tax Amount_Custom,Tax Amount_Custom,Total Shipping Cost_Custom,Discount_Custom,WCS- Sales_Equipment,Ordered Units_Equipment,Ship Charge_Equipment,Ship Tax Amount_Equipment,Tax Amount_Equipment,Total Shipping Cost_Equipment,Discount_Equipment,WCS- Sales_Other,Ordered Units_Other,Ship Charge_Other,Ship Tax Amount_Other,Tax Amount_Other,Total Shipping Cost_Other,Discount_Other, # of Orders , # of Page Views ,YoY Product Views %,YoY Units %,YoY Sales USD %,YoY Visitors %,YoY Page Views %,YoY Avg. Unit Retail %, # of Product Views , # of Units , # of Visitors , Sales (USD) ,YoY Avg. Order Value %,Conversion Rate,YoY Conv Rate %,YoY Orders %, AUR , AOV 
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528, -   ,,,,,,, -   ,741,"79,562"," $72,704.89 ",,0.66%,,, $98.12 , $137.70 
2014-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676, -   ,,,,,,, -   ,958,"95,160"," $95,303.42 ",,0.71%,,, $99.48 , $140.98 
2014-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667, -   ,,,,,,, -   ,912,"90,603"," $93,321.68 ",,0.74%,,, $102.33 , $139.91 
2014-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603, -   ,,,,,,, -   ,802,"92,275"," $86,770.02 ",,0.65%,,, $108.19 , $143.90 
2014-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729, -   ,,,,,,, -   ,"1,022","101,520"," $105,032.88 ",,0.72%,,, $102.77 , $144.08 
2014-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664, -   ,,,,,,, -   ,947,"85,710"," $96,476.09 ",,0.77%,,, $101.88 , $145.30 
2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589, -   ,,,,,,, -   ,831,"81,054"," $83,032.68 ",,0.73%,,, $99.92 , $140.97 
2014-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549, -   ,,,,,,, -   ,782,"79,944"," $78,991.55 ",,0.69%,,, $101.01 , $143.88 
2014-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,922", -   ,,,,,,, -   ,"4,297","126,224"," $234,138.65 ",,1.52%,,, $54.49 , $121.82 
2014-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,343", -   ,,,,,,, -   ,"3,009","96,505"," $174,084.30 ",,1.39%,,, $57.85 , $129.62 
